X,Y,Date,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths,StatisticsProfileDate,CovidCasesConfirmed,HospitalisedCovidCases,RequiringICUCovidCases,HealthcareWorkersCovidCases,ClustersNotified,HospitalisedAged5,HospitalisedAged5to14,HospitalisedAged15to24,HospitalisedAged25to34,HospitalisedAged35to44,HospitalisedAged45to54,HospitalisedAged55to64,HospitalisedAged65up,Male,Female,Unknown,Aged1to4,Aged5to14,Aged15to24,Aged25to34,Aged35to44,Aged45to54,Aged55to64,Aged65up,Median_Age,CommunityTransmission,CloseContact,TravelAbroad,FID
-856335.869598373,7036492.39571864,2021/01/21 00:00:00+00,2608,181922,51,2818,2021/01/19 00:00:00+00,179129,9919,1114,22829,11461,99,86,357,591,739,1144,1419,5482,84720,94380,29,4302,10514,31861,32257,28634,27246,20818,23458,43,0,0,0,326
-856335.869598373,7036492.39571864,2021/01/22 00:00:00+00,2371,184279,52,2870,2021/01/20 00:00:00+00,181727,10069,1125,23284,11488,101,88,359,603,748,1158,1441,5569,85970,95728,29,4359,10619,32195,32722,29092,27718,21145,23837,42,0,0,0,327
-856335.869598373,7036492.39571864,2021/01/23 00:00:00+00,1910,186184,77,2947,2021/01/21 00:00:00+00,184093,10225,1139,23614,11518,104,88,366,609,759,1170,1460,5667,87117,96942,34,4418,10744,32532,33156,29481,28067,21435,24220,40,0,0,0,328
-856335.869598373,7036492.39571864,2021/01/24 00:00:00+00,1378,187554,23,2970,2021/01/22 00:00:00+00,185996,10338,1149,23885,11539,104,89,368,617,766,1179,1473,5740,88000,97960,36,4470,10834,32800,33512,29820,28363,21639,24518,40,0,0,0,329
-856335.869598373,7036492.39571864,2021/01/25 00:00:00+00,1372,188923,7,2978,2021/01/23 00:00:00+00,187367,10407,1157,24073,11561,104,89,368,623,769,1186,1482,5784,88641,98690,36,4497,10913,33003,33770,30053,28573,21809,24709,39,0,0,0,330
-856335.869598373,7036492.39571864,2021/01/26 00:00:00+00,928,189851,90,3066,2021/01/24 00:00:00+00,188734,10495,1163,24322,11600,105,90,372,630,773,1193,1497,5833,89256,99440,38,4547,10978,33180,34010,30285,28786,21966,24942,41,0,0,0,331
-856335.869598373,7036492.39571864,2021/01/27 00:00:00+00,1335,191182,54,3120,2021/01/25 00:00:00+00,189652,10613,1170,24508,11627,106,90,377,633,779,1201,1507,5918,89672,99941,39,4570,11022,33300,34152,30418,28928,22067,25155,44,0,0,0,332
-856335.869598373,7036492.39571864,2021/01/28 00:00:00+00,1466,192645,47,3167,2021/01/26 00:00:00+00,190982,10719,1182,24732,11645,107,92,381,642,786,1209,1519,5981,90290,100653,39,4617,11087,33484,34357,30642,29136,22209,25410,43,0,0,0,333
-856335.869598373,7036492.39571864,2021/01/29 00:00:00+00,1254,193892,48,3214,2021/01/27 00:00:00+00,192441,10829,1188,24920,11667,109,93,384,654,794,1221,1528,6044,90981,101418,42,4654,11176,33702,34570,30892,29359,22360,25688,41,0,0,0,334
-856335.869598373,7036492.39571864,2021/01/30 00:00:00+00,1414,195303,79,3292,2021/01/28 00:00:00+00,193684,10927,1192,25107,11723,109,94,386,657,797,1234,1538,6110,91572,102069,43,4686,11239,33881,34782,31075,29556,22515,25910,42,0,0,0,335
-856335.869598373,7036492.39571864,2021/01/31 00:00:00+00,1247,196547,15,3307,2021/01/29 00:00:00+00,195046,11016,1202,25307,11727,113,96,390,665,806,1241,1553,6150,92215,102788,43,4735,11328,34068,35029,31314,29772,22657,26103,38,0,0,0,336
-856335.869598373,7036492.39571864,2021/02/01 00:00:00+00,1062,197553,10,3317,2021/01/30 00:00:00+00,196291,11102,1208,25496,11739,113,96,391,672,813,1249,1563,6203,92796,103451,44,4776,11394,34273,35227,31548,29943,22788,26302,39,0,0,0,337
